E_1_6,BME280,736.1,497.61,174.85890067914573,1,0,0.34746,-0.019824240887236038,1.1207284516,-0.0570547426674611,-0.34746,-0.0570547426674611,1
E_1_5,BMP388,686.0,497.61,155.62686829855113,1,0,0.43820002560000004,-0.02308814378025501,1.1920192624358406,-0.0526885952337448,-0.43820002560000004,-0.0526885952337448,1
E_1_4,LIS3DH,635.9000000000002,497.61,131.83015220791984,1,0,0.54638469234,-0.02855429390975644,1.2985362320234763,-0.0522604207439763,-0.54638469234,-0.0522604207439763,1
E_1_3,BMP388,570.7700000000002,497.61,87.58411816887815,1,0,0.9518175999999999,-0.044086320516350384,1.90595674366976,-0.0463180345859862,-0.9518175999999999,-0.0463180345859862,1
E_1_2,BMP388,555.74,497.61,72.13276925689665,1,0,1.2531039948,-0.05352815197220101,2.5702696217837184,-0.0427164482711144,-1.2531039948,-0.0427164482711144,1
E_1_1_G1,BME280,545.72,497.61,58.317841824729854,1,0,1.846232494,-0.07377531644264661,4.408574421901461,-0.0399599274102293,-1.846232494,-0.0399599274102293,1
B_1_0_G1,BME280,535.7,497.61,30.2,0,0,1.0,0.0,1.0,0.0,-1.0,0.0,0
I_1_-1_G1,BME280,545.72,497.61,-3.6145010113374703,-1,0,1.2216171912,0.10893076826392972,2.492348561835377,0.0891693151083823,-1.2216171912,0.0891693151083823,-1
I_1_-2,BMP388,555.74,497.61,-14.341608403471415,-1,0,0.7730778084000001,0.06644090059801956,1.597649297840547,0.0859433550880589,-0.7730778084000001,0.0859433550880589,-1
I_1_-3,BMP388,570.7700000000002,497.61,-24.976140849471367,-1,0,0.53216443,0.04395479618170483,1.2831989805572248,0.0825962685662866,-0.5321644299999999,0.0825962685662866,-1
I_1_-4,BME280,635.9000000000002,497.61,-48.3997661940445,-1,0,0.19960404534,0.015407595456348224,1.0398417749160929,0.0771907975617596,-0.19960404534,0.0771907975617596,-1
I_1_-5,BMP388,686.0,497.61,-56.99266910626547,-1,0,0.11792087295999998,0.008957862705232248,1.0139053322796483,0.0759650304511471,-0.11792087295999998,0.0759650304511471,-1
I_1_-6,BME280,736.1,497.61,-61.91412609739608,-1,0,0.060360893799999996,0.00451403496324925,1.003643437500335,0.0747840974357681,-0.060360893799999975,0.0747840974357681,-1
E_2_6,LIS3DH,766.7,2294.62,285.1702906856326,1,0,0.34746,-0.019824240887236038,1.1207284516,-0.0570547426674611,-0.34746,-0.0570547426674611,1
E_2_5,BME280,721.275,2294.62,267.73286412099174,1,0,0.43820002560000004,-0.02308814378025501,1.1920192624358406,-0.0526885952337448,-0.43820002560000004,-0.0526885952337448,1
E_2_4,BMP388,675.85,2294.62,246.15669988113288,1,0,0.54638469234,-0.02855429390975644,1.2985362320234763,-0.0522604207439763,-0.54638469234,-0.0522604207439763,1
E_2_3,BMP388,616.7975,2294.62,206.0394125313631,1,0,0.9518175999999999,-0.044086320516350384,1.90595674366976,-0.0463180345859862,-0.9518175999999999,-0.0463180345859862,1
E_2_2,BME280,603.17,2294.62,192.02988110767524,1,0,1.2531039948,-0.05352815197220101,2.5702696217837184,-0.0427164482711144,-1.2531039948,-0.0427164482711144,1
E_2_1_G1,BMP388,594.085,2294.62,179.50407115545613,1,0,1.846232494,-0.07377531644264661,4.408574421901461,-0.0399599274102293,-1.846232494,-0.0399599274102293,1
B_2_0_G1,BMP388,585.0,2294.62,154.01,0,0,1.0,0.0,1.0,0.0,-1.0,0.0,0
I_2_-1_G1,BME280,594.085,2294.62,123.35084414291408,-1,0,1.2216171912,0.10893076826392972,2.492348561835377,0.0891693151083823,-1.2216171912,0.0891693151083823,-1
I_2_-2,BMP388,603.17,2294.62,113.62471932679264,-1,0,0.7730778084000001,0.06644090059801956,1.597649297840547,0.0859433550880589,-0.7730778084000001,0.0859433550880589,-1
I_2_-3,BMP388,616.7975,2294.62,103.98253097630266,-1,0,0.53216443,0.04395479618170483,1.2831989805572248,0.0825962685662866,-0.5321644299999999,0.0825962685662866,-1
I_2_-4,BME280,675.85,2294.62,82.74464312645765,-1,0,0.19960404534,0.015407595456348224,1.0398417749160929,0.0771907975617596,-0.19960404534,0.0771907975617596,-1
I_2_-5,BMP388,721.275,2294.62,74.95357297101577,-1,0,0.11792087295999998,0.008957862705232248,1.0139053322796483,0.0759650304511471,-0.11792087295999998,0.0759650304511471,-1
I_2_-6,BME280,766.7,2294.62,70.49135373304956,-1,0,0.060360893799999996,0.00451403496324925,1.003643437500335,0.0747840974357681,-0.060360893799999975,0.0747840974357681,-1
